FinalID,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,Consumer,ConKingdom,ConTemp,ConMassValueSI,ConTempK,ConMassG
MTD2103,Surface Area-Specific Photosynthetic Oxygen Production Rate,-2.1670500000000002e-05,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,40.0,0.15,313.15,150.0
MTD2104,Surface Area-Specific Photosynthetic Oxygen Production Rate,3.39537e-05,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,5.0,1.608e-05,278.15,0.016079999999999997
MTD2104,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000134842,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,10.0,1.608e-05,283.15,0.016079999999999997
MTD2104,Surface Area-Specific Photosynthetic Oxygen Production Rate,8.544979999999999e-05,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,15.0,1.608e-05,288.15,0.016079999999999997
MTD2104,Surface Area-Specific Photosynthetic Oxygen Production Rate,7.77349e-05,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,20.0,1.608e-05,293.15,0.016079999999999997
MTD2104,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000110425,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,25.0,1.608e-05,298.15,0.016079999999999997
MTD2104,Surface Area-Specific Photosynthetic Oxygen Production Rate,4.58848e-05,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,30.0,1.608e-05,303.15,0.016079999999999997
MTD2104,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000151821,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,35.0,1.608e-05,308.15,0.016079999999999997
MTD2104,Surface Area-Specific Photosynthetic Oxygen Production Rate,-2.76383e-05,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,40.0,1.608e-05,313.15,0.016079999999999997
MTD2105,Surface Area-Specific Photosynthetic Oxygen Production Rate,6.80527e-05,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,5.0,0.15,278.15,150.0
MTD2105,Surface Area-Specific Photosynthetic Oxygen Production Rate,7.42229e-05,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,10.0,0.15,283.15,150.0
MTD2105,Surface Area-Specific Photosynthetic Oxygen Production Rate,2.3571799999999997e-05,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,15.0,0.15,288.15,150.0
MTD2105,Surface Area-Specific Photosynthetic Oxygen Production Rate,1.71199e-05,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,20.0,0.15,293.15,150.0
MTD2105,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000114219,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,25.0,0.15,298.15,150.0
MTD2105,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000193635,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,30.0,0.15,303.15,150.0
